access_date,Event_context,Component,Event_name,Description,Origin,matrik,KOD KURSUS
9/7/2020,Assignment: Lab Asg 6 - File Management (All questions),File submissions,Submission created.,The user with id '13691' created a file submission and uploaded '1' file/s in the assignment with course module id '69141'.,web,304220,SSE3151
9/7/2020,Assignment: Lab Asg 6 - File Management (All questions),Assignment,Course module viewed,The user with id '13691' viewed the 'assign' activity with course module id '69141'.,web,304220,SKR3201
9/7/2020,Assignment: Lab Asg 6 - File Management (All questions),Online text submissions,Submission created.,The user with id '13691' created an online text submission with '0' words in the assignment with course module id '69141'.,web,304220,SSE4306
9/7/2020,Assignment: Lab Asg 6 - File Management (All questions),Online text submissions,An online text has been uploaded.,The user with id '13691' has saved an online text submission with id '176778' in the assignment activity with course module id '69141'.,web,304220,SSK4407
9/7/2020,Assignment: Lab Asg 6 - File Management (All questions),File submissions,A file has been uploaded.,The user with id '13691' has uploaded a file to the submission with id '176778' in the assignment activity with course module id '69141'.,web,304220,SSK3100
9/7/2020,Attendance: Attendance SSK3101 Group 8- Class and Lab ,Attendance,Session report viewed,User with id 13796 viewed attendance sessions for student with id 13796,web,812220,SSK3101
9/7/2020,Assignment: Individual Assignment 2,Assignment,The status of the submission has been viewed.,The user with id '13916' has viewed the submission status page for the assignment with course module id '72314'.,web,744219,SSE4356
9/7/2020,Folder: Tableau Exercises,Folder,Course module viewed,The user with id '26870' viewed the 'folder' activity with course module id '95016'.,web,22719,SKM4310
9/7/2020,File: Topic6 w10skr3200,File,Course module viewed,The user with id '7305' viewed the 'resource' activity with course module id '6462'.,web,845020,SKR3305
9/7/2020,Assignment: Individual Assignment 2,Assignment,Course module viewed,The user with id '13916' viewed the 'assign' activity with course module id '72314'.,web,744219,SSE4351
9/7/2020,File: Topic6 w10skr3200,File,Course module viewed,The user with id '7305' viewed the 'resource' activity with course module id '6462'.,web,454820,SSK3102
9/7/2020,Folder: practices and labs 11 - 13,Folder,Course module viewed,The user with id '4070' viewed the 'folder' activity with course module id '93072'.,web,754219,SIM4208
9/7/2020,Folder: practices and labs 11 - 13,Folder,Zip archive of folder downloaded,The user with id '4070' downloaded a zip archive containing all the files from the folder activity with course module id '93072'.,web,754219,SSK3118
9/7/2020,Assignment: Group Presentation: Special Topics in Operating Systems,Assignment,Course module viewed,The user with id '25008' viewed the 'assign' activity with course module id '93377'.,web,287119,SKM4201
9/7/2020,Quiz: MIDTERM SSK5507 Sunday 14th June 2020 (start at 4pm),Quiz,Quiz attempt reviewed,The user with id '1305' has had their attempt with id '42053' reviewed by the user with id '2813' for the quiz with course module id '67317'.,web,8427A0,SSK4407
9/7/2020,"Attendance: Attendance on 9 July 2020, 2.00 - 4.00 pm",Attendance,Session report viewed,User with id 2007 viewed attendance sessions for student with id 2007,web,343820,SSK4617
9/7/2020,Attendance: Attendance during MCO (27April - 22 May),Attendance,Session report viewed,User with id 13916 viewed attendance sessions for student with id 13916,web,744219,SSE3305
9/7/2020,Attendance: Attendance SSK3101 Group 8- Class and Lab ,Attendance,Session report viewed,User with id 12673 viewed attendance sessions for student with id 12673,web,13820,SKR3306
9/7/2020,Assignment: Group Presentation: Special Topics in Operating Systems,Assignment,The status of the submission has been viewed.,The user with id '25008' has viewed the submission status page for the assignment with course module id '93377'.,web,287119,SKM4310
9/7/2020,Attendance: Attendance SKR3200,Attendance,Attendance taken by student,Student with id 12564 took attendance with instanceid 606,web,34220,SKM3203
9/7/2020,Attendance: Attendance SKR3200,Attendance,Session report viewed,User with id 26485 viewed attendance sessions for student with id 26485,web,842820,SSE3150
9/7/2020,"Attendance: Attendance on 9 July 2020, 2.00 - 4.00 pm",Attendance,Session report viewed,User with id 2007 viewed attendance sessions for student with id 2007,web,343820,SKR3201
9/7/2020,Attendance: Attendance SKR3200,Attendance,Session report viewed,User with id 12564 viewed attendance sessions for student with id 12564,web,34220,SSE4301
9/7/2020,"Attendance: Attendance on 9 July 2020, 2.00 - 4.00 pm",Attendance,Attendance taken by student,Student with id 2007 took attendance with instanceid 5719,web,343820,SSK4507
9/7/2020,URL: Scalar Quantization : Part 2,System,Course module created,The user with id '977' created the 'url' activity with course module id '95300'.,web,5818A0,SSK4617
