access_date,Event_context,Component,Event_name,Description,Origin,matrik,KOD KURSUS
2020-09-07,Course: SSK4407-1: ANALITIK BISNES (BUSINESS ANALYTICS),System,Course viewed,The user with id '29029' viewed the course with id '3114'.,web,205218,SSK3102
2020-09-07,Course: SSK3101-9: PENGATURCARAAN KOMPUTER II (COMPUTER PROGRAMMING II),System,Course viewed,The user with id '13892' viewed the course with id '3092'.,web,240520,SKR3504
2020-09-07,Course: SSK3101-9: PENGATURCARAAN KOMPUTER II (COMPUTER PROGRAMMING II),System,Course viewed,The user with id '22150' viewed the course with id '3092'.,web,123520,SKR3202
2020-09-07,Course: SSK3101-6: PENGATURCARAAN KOMPUTER II (COMPUTER PROGRAMMING II),System,Course viewed,The user with id '13691' viewed the course with id '3088'.,web,304220,SSK3207
2020-09-07,Course: SSK4407-2: ANALITIK BISNES (BUSINESS ANALYTICS),System,Course viewed,The user with id '27882' viewed the course with id '3115'.,web,164019,SKR3307
2020-09-07,Course: SSK3101-9: PENGATURCARAAN KOMPUTER II (COMPUTER PROGRAMMING II),System,Course viewed,The user with id '1784' viewed the course with id '3092'.,web,132720,SIM3251
2020-09-07,Course: SIM3251-1: STATISTIK BAGI SAINS KOMPUTER (STATISTICS FOR COMPUTER SCIENCE),System,User graded,The user with id '999' updated the grade with id '610153' for the user with id '13613' for the grade item with id '23109'.,web,8417A0,SSK4508
2020-09-07,Course: SKR3200-2: KOMUNIKASI DAN RANGKAIAN KOMPUTER (COMMUNICATION AND COMPUTER NETWORKS),System,Course viewed,The user with id '6513' viewed the course with id '3011'.,web,905020,SSK3101
2020-09-07,Course: SKR3201-1: ANTARA RANGKAIAN (INTERNET NETWORKING),System,Course viewed,The user with id '3010' viewed the course with id '3017'.,web,238119,SSE3151
2020-09-07,Course: SKR3306-1: PENGATURCARAAN C++ (C++ PROGRAMMING),System,Course viewed,The user with id '18517' viewed the course with id '3022'.,web,412719,SKM4310
2020-09-07,Course: SSK3101-1: PENGATURCARAAN KOMPUTER II (COMPUTER PROGRAMMING II),System,Course viewed,The user with id '29441' viewed the course with id '3079'.,web,030120,SKM4212
2020-09-07,Course: SKR3306-1: PENGATURCARAAN C++ (C++ PROGRAMMING),System,Course viewed,The user with id '18517' viewed the course with id '3022'.,web,412719,SKM4201
2020-09-07,Course: SKM3300-1: PEMBANGUNAN APLIKASI MULTIMEDIA (MULTIMEDIA APPLICATION DEVELOPMENT),System,Course viewed,The user with id '3037' viewed the course with id '2961'.,web,192720,SSK4407
2020-09-07,Course: SKM4213-2: PEMPROSESAN IMEJ DIGITAL (DIGITAL IMAGE PROCESSING),System,Course viewed,The user with id '3362' viewed the course with id '2965'.,web,048019,SSK4507
2020-09-07,Course: SKM3300-1: PEMBANGUNAN APLIKASI MULTIMEDIA (MULTIMEDIA APPLICATION DEVELOPMENT),System,Course viewed,The user with id '3037' viewed the course with id '2961'.,web,192720,SKR4202
2020-09-07,Course: SSK3100-2: PENGATURCARAAN KOMPUTER I(COMPUTER PROGRAMMING I),System,Course viewed,The user with id '12050' viewed the course with id '4061'.,web,165020,SSE3305
2020-09-07,Course: SSK3003-3: STRUKTUR DISKRET(DISCRETE STRUCTURES),System,Course viewed,The user with id '439' viewed the course with id '4487'.,web,1846A0,SSK4407
2020-09-07,Course: SSK3101-9: PENGATURCARAAN KOMPUTER II (COMPUTER PROGRAMMING II),System,Course viewed,The user with id '27307' viewed the course with id '3092'.,web,722120,SSE4356
2020-09-07,Course: SSK4602-2: KOMPUTERAN CERDAS (INTELLIGENT COMPUTING),System,Course viewed,The user with id '482' viewed the course with id '3119'.,web,4543A0,SSE4351
2020-09-07,Course: SKM3300-1: PEMBANGUNAN APLIKASI MULTIMEDIA (MULTIMEDIA APPLICATION DEVELOPMENT),System,Course viewed,The user with id '3037' viewed the course with id '2961'.,web,192720,SSK4407
2020-09-07,Course: SKM3300-1: PEMBANGUNAN APLIKASI MULTIMEDIA (MULTIMEDIA APPLICATION DEVELOPMENT),System,Course viewed,The user with id '3037' viewed the course with id '2961'.,web,192720,SKR3201
2020-09-07,Course: SSK3101-9: PENGATURCARAAN KOMPUTER II (COMPUTER PROGRAMMING II),System,Course viewed,The user with id '22759' viewed the course with id '3092'.,web,914120,SSK3101
