access_date,Event_context,Component,Event_name,Description,Origin,matrik,KOD KURSUS
2020-09-07,Course: SSK3100-1: PENGATURCARAAN KOMPUTER I (COMPUTER PROGRAMMING I),System,Course viewed,The user with id '30348' viewed the course with id '3078'.,web,535120,SKR3504
2020-09-07,Folder: Tableau Exercises,Folder,Course module viewed,The user with id '4070' viewed the 'folder' activity with course module id '95016'.,web,754219,SSE3151
2020-09-07,Assignment: Lab Asg 6 - File Management (All questions),Assignment,Course module viewed,The user with id '13691' viewed the 'assign' activity with course module id '69141'.,web,304220,SSE4306
2020-09-07,Attendance: Attendance,Attendance,Session report viewed,User with id 30348 viewed attendance sessions for student with id 30348,web,535120,SSK4610
2020-09-07,Folder: Tableau Exercises,Folder,Zip archive of folder downloaded,The user with id '4070' downloaded a zip archive containing all the files from the folder activity with course module id '95016'.,web,754219,SSE3150
2020-09-07,Attendance: Lab Attendance - Week 13,Attendance,Session report viewed,User with id 4162 viewed attendance sessions for student with id 4162,web,914019,SKR3305
2020-09-07,Assignment: Lab Asg 6 - File Management (All questions),Assignment,Course module viewed,The user with id '13691' viewed the 'assign' activity with course module id '69141'.,web,304220,SSK4506
2020-09-07,Course: SKR3306-1: PENGATURCARAAN C++ (C++ PROGRAMMING),System,User graded,The user with id '4162' updated the grade with id '748695' for the user with id '4162' for the grade item with id '27184'.,web,914019,SKM4201
2020-09-07,Course: SSK3101-6: PENGATURCARAAN KOMPUTER II (COMPUTER PROGRAMMING II),System,Course viewed,The user with id '13691' viewed the course with id '3088'.,web,304220,SKR4307
2020-09-07,Course: SKR3306-1: PENGATURCARAAN C++ (C++ PROGRAMMING),System,Course viewed,The user with id '4162' viewed the course with id '3022'.,web,914019,SKM3203
2020-09-07,Assignment: Lab Asg 6 - File Management (All questions),Assignment,The status of the submission has been viewed.,The user with id '13691' has viewed the submission status page for the assignment with course module id '69141'.,web,304220,SSK3003
2020-09-07,Course: SSK3101-8: PENGATURCARAAN KOMPUTER II (COMPUTER PROGRAMMING II),System,Course viewed,The user with id '12673' viewed the course with id '3091'.,web,013820,SSK4610
2020-09-07,Course: SSK4617-2: AGEN KOMPUTERAN (COMPUTING AGENTS),System,Course viewed,The user with id '29468' viewed the course with id '4339'.,web,538018,SKR4202
2020-09-07,Course: SSK4617-2: AGEN KOMPUTERAN (COMPUTING AGENTS),System,Course viewed,The user with id '4140' viewed the course with id '4339'.,web,501919,SSK3207
2020-09-07,Course: SSK4407-2: ANALITIK BISNES (BUSINESS ANALYTICS),System,Course viewed,The user with id '13535' viewed the course with id '3115'.,web,861419,SKR4307
